uri,cid,author_handle,author_name,text,author_data,post_data,embed_data,reply_count,repost_count,like_count,quote_count,indexed_at,in_reply_to,in_reply_root,quotes,tags,mentions,links,langs,labels
at://did:plc:uxj5ihyuzrgxmuvjeanl57ys/app.bsky.feed.post/3lrghdolr2aw2,bafyreidaxxmb6kryzl7l323be7apzxvsydcekmbzlpdfgf5zpugwqtpk7i,chris.mstdn.chrisalemany.ca.ap.brid.gy,Chris Alemany🇺🇦🇨🇦🇪🇸,"Jagmeet Singh deserved a lot better than he got from Canada considering what he endured.

""Singh told reporters in April that police had advised him in the winter of 2023 that his life could be in danger. They did not tell him who was behind the threat but he said the implication was that it was […]",,,,0,0,0,0,2025-06-12T17:34:07Z,NA,NA,NA,,,,,
at://did:plc:2k3vypzzpcx6sgsfnspsdhbw/app.bsky.feed.post/3lrgh6pt7yu2d,bafyreiaj7x33mlkvibusqh7cruff4anzx47wiwqpvtkiltujmwn6epylgu,morningside.bsky.social,Pádraig Kerr 🇨🇦,"Liberals to cut short study of bill to speed up resource project approvals buff.ly/Ee8xtaG

#cdnpoli #Canada #BillC5",,,,0,0,0,0,2025-06-12T17:30:33Z,NA,NA,NA,,,,,
at://did:plc:xfs2ww3mnwvboonakol23kxg/app.bsky.feed.post/3lrggyqzci22s,bafyreidf27ypboyc5gntu7azu3ujwr2gwtbfur7vuczltpqjo2zmukgubm,theicepirates.bsky.social,Jason 🇨🇦,"What a shame, I also just reserved two tickets for the parade, but my duties with the California Law Review is too pressing during this time of unrest!

Oh well, maybe next time 🤠

#cdnpoli
#uspoli",,,,0,1,4,0,2025-06-12T17:27:15Z,NA,NA,NA,,,,,
at://did:plc:yg5v3rnjcbazffztmds2zzhv/app.bsky.feed.post/3lrggw52iws2y,bafyreif7vmrp3mkkcyp6bspqtxradyfi5dtkkpsf3ndsornxs2d5r4spv4,climatepete.bsky.social,Peter McCartney,Thank god somebody in the media was willing to say it #cdnpoli www.thestar.com/opinion/cont...,,,,0,2,3,0,2025-06-12T17:25:45Z,NA,NA,NA,,,,,
at://did:plc:yiykf4gzuc7ofsnvmdmee5kz/app.bsky.feed.post/3lrggud4htk2c,bafyreihymkt4xnry6jkkiu3muteppwc5rmc3am2exoqimwayro7af3evj4,hope50.bsky.social,,"Really? 🤥 

#abpoli #cdnpoli",,,,0,0,4,0,2025-06-12T17:24:45Z,at://did:plc:zi6utp4xn45ji62c3bji3w4m/app.bsky.feed.post/3lrgbtvuil227,at://did:plc:zi6utp4xn45ji62c3bji3w4m/app.bsky.feed.post/3lrgbtvuil227,NA,,,,,
at://did:plc:iyyzcuc24pgchmsbjnsa3wu3/app.bsky.feed.post/3lrggtfmzfs2t,bafyreiexe2tocziehjwadd72auvqtusiu5l443hgfy54liuipuvlwcoj5q,torontokate.bsky.social,🎶 I Will Choose Freewill 🇨🇦 ,"AI is getting it's information from @thebeaverton.com 😂

Remember when they fell under that block that Zuckerberg imposed on Canadian news outlets? They had to sent a strongly worded letter to Meta.

#Cdnpoli #CanadaSky",,,,0,0,2,0,2025-06-12T17:24:14Z,NA,NA,NA,,,,,
at://did:plc:u5ps2tamftizbifphaslrgjv/app.bsky.feed.post/3lrggnp3vfc2t,bafyreidmfpf26ppcaa2h7rp5dmfqcqtmdh6nhanvj353glila7jlm45as4,tmlinner.bsky.social,Thomas Linner,"If you ever wanted to encapsulate the Laurentian Elite consensus in one phrase, “a posture of strategic ambiguity” would serve as well as any other.

Principle? No thank you!

#cdnpoli",,,,0,0,0,0,2025-06-12T17:21:01Z,NA,NA,at://did:plc:b3nlsopwvdn246ccpxctzsw4/app.bsky.feed.post/3lrggh6p7kj2o,,,,,
at://did:plc:j6diznl4aypc3xmfiha56uh2/app.bsky.feed.post/3lrggfmq33c2t,bafyreiensbnwfg3nxdplhkssuwqvnkfes5tmsu4swk5vfw2sq3zgjmdeuy,mrpsmith.bsky.social,Mr Psmith 🇨🇦,"From my favourite PM 🇨🇦
www.ctvnews.ca/politics/art...

#CdnPoli #CanPoli #Canada #Chretien #G7",,,,2,5,12,2,2025-06-12T17:16:33Z,NA,NA,NA,,,,,
at://did:plc:mwagtmvsxuqlgte5iqk3fndm/app.bsky.feed.post/3lrggeovzsx2a,bafyreifyfjxthmrpltfklchkqmdfqirngg3hzktmh6ux4ljsfhecepj7by,lalegault.bsky.social,LA Legault 🍁,"Thank you, Senator: #cdnpoli",,,,0,6,16,0,2025-06-12T17:16:01Z,NA,NA,NA,,,,,
at://did:plc:yyzgt5l43kyukndhkegyzshl/app.bsky.feed.post/3lrggco5cn22k,bafyreiagwajywt7p435i2xjydf2d5prg2dixzxdiduottfxudiksf3ytve,pixiepenny.bsky.social,🇨🇦PixiePenny🇨🇦,"Narcity: #Canada was just ranked among the best countries in the world and it wiped the #US off the map

#cdnpoli 
....just watch how quickly #TFG takes a hissy fit 👿

www.narcity.com/canada-ranke...",,,,0,0,0,0,2025-06-12T17:14:53Z,NA,NA,NA,,,,,
at://did:plc:hafmc7t2jrqaib2hfpvclltf/app.bsky.feed.post/3lrgg5mtwl22f,bafyreifdwa2f5halevitceseq66zwuwbkakp2sr74qplity5mnu2jrqk2u,darkcoffee8.bsky.social,Jo,"ici.radio-canada.ca/nouvelle/217...

French almost absent in NB Question Period.

Also, French almost absent in Fredericton. Even city signs are English only last time I went. #cdnpoli #canada #canadasky #canpoli #nbpoli",,,,2,0,1,0,2025-06-12T17:12:04Z,NA,NA,NA,,,,,
